"congress","senator_name","senator_party","senator_state"
"87th","Maurine Neuberger","D","OR"
"87th","Joseph S. Clark","D","PA"
"87th","Hugh Scott","R","PA"
"87th","John O. Pastore","D","RI"
"87th","Claiborne Pell","D","RI"
"87th","Olin D. Johnston","D","SC"
"87th","Strom Thurmond","D","SC"
"87th","Karl Mundt","R","SD"
"87th","Francis H. Case","R","SD"
"87th","Joseph H. Bottum","R","SD"
"87th","Estes Kefauver","D","TN"
"87th","Albert Gore, Sr.","D","TN"
"87th","Ralph Yarborough","D","TX"
"87th","William A. Blakley","D","TX"
"87th","John Tower","R","TX"
"87th","Wallace F. Bennett","R","UT"
"87th","Frank Moss","D","UT"
"87th","Harry F. Byrd, Sr.","D","VA"
"87th","A. Willis Robertson","D","VA"
"87th","George Aiken","R","VT"
"87th","Winston L. Prouty","R","VT"
"87th","Warren G. Magnuson","D","WA"
"87th","Henry M. Jackson","D","WA"
"87th","Alexander Wiley","R","WI"
"87th","William Proxmire","D","WI"
"87th","Jennings Randolph","D","WV"
"87th","Robert Byrd","D","WV"
"87th","Gale W. McGee","D","WY"
"87th","John J. Hickey","D","WY"
"87th","Milward L. Simpson","R","WY"
"86th","Edward L. Bartlett","D","AK"
"86th","Ernest Gruening","D","AK"
"86th","Joseph L. Hill","D","AL"
"86th","John Sparkman","D","AL"
"86th","John Little McClellan","D","AR"
"86th","J. William Fulbright","D","AR"
"86th","Carl Hayden","D","AZ"
"86th","Barry Goldwater","R","AZ"
"86th","Thomas Kuchel","R","CA"
"86th","Clair Engle","D","CA"
"86th","Gordon L. Allott","R","CO"
"86th","John A. Carroll","D","CO"
"86th","Prescott Bush","R","CT"
"86th","Thomas J. Dodd","D","CT"
"86th","John J. Williams","R","DE"
"86th","Joseph Frear, Jr.","D","DE"
"86th","Spessard Holland","D","FL"
"86th","George Smathers","D","FL"
"86th","Richard Russell, Jr.","D","GA"
"86th","Herman Talmadge","D","GA"
"86th","Oren E. Long","D","HI"
"86th","Hiram Fong","R","HI"
"86th","Bourke B. Hickenlooper","R","IA"
"86th","Thomas Martin","R","IA"
"86th","Henry Dworshak","R","ID"
"86th","Frank Church","D","ID"
"86th","Paul Douglas","D","IL"
"86th","Everett Dirksen","R","IL"
"86th","Homer E. Capehart","R","IN"
"86th","Vance Hartke","D","IN"
"86th","Andrew F. Schoeppel","R","KS"
"86th","Frank Carlson","R","KS"
"86th","John Sherman Cooper","R","KY"
"86th","Thruston Ballard Morton","R","KY"
"86th","Allen J. Ellender","D","LA"
"86th","Russell B. Long","D","LA"
"86th","Leverett Saltonstall","R","MA"
"86th","John F. Kennedy","D","MA"
"86th","Benjamin A. Smith II","D","MA"
"86th","John M. Butler","R","MD"
"86th","James Glenn Beall","R","MD"
"86th","Margaret Chase Smith","R","ME"
"86th","Edmund Muskie","D","ME"
"86th","Patrick V. McNamara","D","MI"
"86th","Philip Hart","D","MI"
"86th","Hubert Humphrey","D","MN"
"86th","Eugene McCarthy","D","MN"
"86th","Thomas C. Hennings, Jr.","D","MO"
"86th","Stuart Symington","D","MO"
"86th","Edward V. Long","D","MO"
"86th","James Eastland","D","MS"
"86th","John C. Stennis","D","MS"
"86th","James Murray","D","MT"
"86th","Mike Mansfield","D","MT"
"86th","Sam Ervin","D","NC"
"86th","Ben Jordan","D","NC"
"86th","William Langer","R","ND"
"86th","Milton Young","R","ND"
"86th","C. Norman Brunsdale","R","ND"
"86th","Quentin Northrup Burdick","D","ND"
"86th","Roman Hruska","R","NE"
"86th","Carl Curtis","R","NE"
"86th","Styles Bridges","R","NH"
"86th","Norris Cotton","R","NH"
"86th","Clifford P. Case","R","NJ"
"86th","Harrison A. Williams","D","NJ"
"86th","Dennis Chavez","D","NM"
"86th","Clinton Anderson","D","NM"
"86th","Alan Bible","D","NV"
"86th","Howard Cannon","D","NV"
"86th","Jacob K. Javits","R","NY"
"86th","Kenneth Keating","R","NY"
"86th","Frank J. Lausche","D","OH"
"86th","Stephen Young","D","OH"
"86th","Robert S. Kerr","D","OK"
"86th","Almer Monroney","D","OK"
"86th","Wayne Morse","D","OR"
"86th","Richard L. Neuberger","D","OR"
"86th","Hall S. Lusk","D","OR"
"86th","Maurine Neuberger","D","OR"
"86th","Joseph S. Clark","D","PA"
"86th","Hugh Scott","R","PA"
"86th","Theodore F. Green","D","RI"
"86th","John O. Pastore","D","RI"
"86th","Olin D. Johnston","D","SC"
"86th","Strom Thurmond","D","SC"
"86th","Karl Mundt","R","SD"
"86th","Francis H. Case","R","SD"
"86th","Estes Kefauver","D","TN"
"86th","Albert Gore, Sr.","D","TN"
"86th","Lyndon Johnson","D","TX"
"86th","Ralph Yarborough","D","TX"
"86th","Wallace F. Bennett","R","UT"
"86th","Frank Moss","D","UT"
"86th","Harry F. Byrd, Sr.","D","VA"
"86th","A. Willis Robertson","D","VA"
"86th","George Aiken","R","VT"
"86th","Winston L. Prouty","R","VT"
"86th","Warren G. Magnuson","D","WA"
"86th","Henry M. Jackson","D","WA"
"86th","Alexander Wiley","R","WI"
"86th","William Proxmire","D","WI"
"86th","Jennings Randolph","D","WV"
"86th","Robert Byrd","D","WV"
"86th","Joseph C. O'Mahoney","D","WY"
"86th","Gale W. McGee","D","WY"
"85th","Joseph L. Hill","D","AL"
"85th","John Sparkman","D","AL"
"85th","John Little McClellan","D","AR"
"85th","J. William Fulbright","D","AR"
"85th","Carl Hayden","D","AZ"
"85th","Barry Goldwater","R","AZ"
"85th","William F. Knowland","R","CA"
"85th","Thomas Kuchel","R","CA"
"85th","Gordon L. Allott","R","CO"
"85th","John A. Carroll","D","CO"
"85th","Prescott Bush","R","CT"
"85th","William A. Purtell","R","CT"
"85th","John J. Williams","R","DE"
"85th","Joseph Frear, Jr.","D","DE"
"85th","Spessard Holland","D","FL"
"85th","George Smathers","D","FL"
"85th","Richard Russell, Jr.","D","GA"
"85th","Herman Talmadge","D","GA"
"85th","Bourke B. Hickenlooper","R","IA"
"85th","Thomas Martin","R","IA"
"85th","Henry Dworshak","R","ID"
"85th","Frank Church","D","ID"
"85th","Paul Douglas","D","IL"
"85th","Everett Dirksen","R","IL"
"85th","Homer E. Capehart","R","IN"
"85th","William E. Jenner","R","IN"
"85th","Andrew F. Schoeppel","R","KS"
"85th","Frank Carlson","R","KS"
"85th","John Sherman Cooper","R","KY"
"85th","Thruston Ballard Morton","R","KY"
"85th","Allen J. Ellender","D","LA"
"85th","Russell B. Long","D","LA"
"85th","Leverett Saltonstall","R","MA"
"85th","John F. Kennedy","D","MA"
"85th","John M. Butler","R","MD"
"85th","James Glenn Beall","R","MD"
"85th","Margaret Chase Smith","R","ME"
"85th","Frederick G. Payne","R","ME"
"85th","Charles E. Potter","R","MI"
"85th","Patrick V. McNamara","D","MI"
"85th","Edward John Thye","R","MN"
"85th","Hubert Humphrey","D","MN"
"85th","Thomas C. Hennings, Jr.","D","MO"
"85th","Stuart Symington","D","MO"
"85th","James Eastland","D","MS"
"85th","John C. Stennis","D","MS"
"85th","James Murray","D","MT"
"85th","Mike Mansfield","D","MT"
"85th","Sam Ervin","D","NC"
"85th","W. Kerr Scott","D","NC"
"85th","Ben Jordan","D","NC"
"85th","William Langer","R","ND"
"85th","Milton Young","R","ND"
"85th","Roman Hruska","R","NE"
"85th","Carl Curtis","R","NE"
"85th","Styles Bridges","R","NH"
"85th","Norris Cotton","R","NH"
"85th","Howard A. Smith","R","NJ"
"85th","Clifford P. Case","R","NJ"
"85th","Dennis Chavez","D","NM"
"85th","Clinton Anderson","D","NM"
"85th","George W. Malone","R","NV"
"85th","Alan Bible","D","NV"
"85th","Irving Ives","R","NY"
"85th","Jacob K. Javits","R","NY"
"85th","John W. Bricker","R","OH"
"85th","Frank J. Lausche","D","OH"
"85th","Robert S. Kerr","D","OK"
"85th","Almer Monroney","D","OK"
"85th","Wayne Morse","D","OR"
"85th","Richard L. Neuberger","D","OR"
"85th","Edward Martin","R","PA"
"85th","Joseph S. Clark","D","PA"
"85th","Theodore F. Green","D","RI"
"85th","John O. Pastore","D","RI"
"85th","Olin D. Johnston","D","SC"
"85th","Strom Thurmond","D","SC"
"85th","Karl Mundt","R","SD"
"85th","Francis H. Case","R","SD"
"85th","Estes Kefauver","D","TN"
"85th","Albert Gore, Sr.","D","TN"
"85th","Lyndon Johnson","D","TX"
"85th","Price Daniel","D","TX"
"85th","William A. Blakley","D","TX"
"85th","Ralph Yarborough","D","TX"
"85th","Arthur Vivian Watkins","R","UT"
"85th","Wallace F. Bennett","R","UT"
"85th","Harry F. Byrd, Sr.","D","VA"
"85th","A. Willis Robertson","D","VA"
"85th","George Aiken","R","VT"
"85th","Ralph Flanders","R","VT"
"85th","Warren G. Magnuson","D","WA"
"85th","Henry M. Jackson","D","WA"
"85th","Alexander Wiley","R","WI"
"85th","Joseph McCarthy","R","WI"
"85th","William Proxmire","D","WI"
"85th","Matthew M. Neely","D","WV"
"85th","W. Chapman Revercomb","R","WV"
"85th","John D. Hoblitzell, Jr.","R","WV"
"85th","Jennings Randolph","D","WV"
"85th","Frank A. Barrett","R","WY"
"85th","Joseph C. O'Mahoney","D","WY"
"84th","Joseph L. Hill","D","AL"
"84th","John Sparkman","D","AL"
"84th","John Little McClellan","D","AR"
"84th","J. William Fulbright","D","AR"
"84th","Carl Hayden","D","AZ"
"84th","Barry Goldwater","R","AZ"
"84th","William F. Knowland","R","CA"
"84th","Thomas Kuchel","R","CA"
"84th","Eugene D. Millikin","R","CO"
"84th","Gordon L. Allott","R","CO"
"84th","Prescott Bush","R","CT"
"84th","William A. Purtell","R","CT"
"84th","John J. Williams","R","DE"
"84th","Joseph Frear, Jr.","D","DE"
"84th","Spessard Holland","D","FL"
"84th","George Smathers","D","FL"
"84th","Walter F. George","D","GA"
"84th","Richard Russell, Jr.","D","GA"
"84th","Bourke B. Hickenlooper","R","IA"
"84th","Thomas Martin","R","IA"
"84th","Henry Dworshak","R","ID"
"84th","Herman Welker","R","ID"
"84th","Paul Douglas","D","IL"
"84th","Everett Dirksen","R","IL"
"84th","Homer E. Capehart","R","IN"
"84th","William E. Jenner","R","IN"
"84th","Andrew F. Schoeppel","R","KS"
"84th","Frank Carlson","R","KS"
"84th","Earle C. Clements","D","KY"
"84th","Alben W. Barkley","D","KY"
"84th","Robert Humphreys","R","KY"
"84th","John Sherman Cooper","R","KY"
"84th","Allen J. Ellender","D","LA"
"84th","Russell B. Long","D","LA"
"84th","Leverett Saltonstall","R","MA"
"84th","John F. Kennedy","D","MA"
"84th","John M. Butler","R","MD"
"84th","James Glenn Beall","R","MD"
"84th","Margaret Chase Smith","R","ME"
"84th","Frederick G. Payne","R","ME"
"84th","Charles E. Potter","R","MI"
"84th","Patrick V. McNamara","D","MI"
"84th","Edward John Thye","R","MN"
"84th","Hubert Humphrey","D","MN"
"84th","Thomas C. Hennings, Jr.","D","MO"
"84th","Stuart Symington","D","MO"
"84th","James Eastland","D","MS"
"84th","John C. Stennis","D","MS"
"84th","James Murray","D","MT"
"84th","Mike Mansfield","D","MT"
"84th","Sam Ervin","D","NC"
"84th","W. Kerr Scott","D","NC"
"84th","William Langer","R","ND"
"84th","Milton Young","R","ND"
"84th","Roman Hruska","R","NE"
"84th","Carl Curtis","R","NE"
"84th","Styles Bridges","R","NH"
"84th","Norris Cotton","R","NH"
"84th","Howard A. Smith","R","NJ"
"84th","Clifford P. Case","R","NJ"
"84th","Dennis Chavez","D","NM"
"84th","Clinton Anderson","D","NM"
"84th","George W. Malone","R","NV"
"84th","Alan Bible","D","NV"
"84th","Irving Ives","R","NY"
"84th","Herbert H. Lehman","D","NY"
"84th","John W. Bricker","R","OH"
"84th","George H. Bender","R","OH"
"84th","Robert S. Kerr","D","OK"
"84th","Almer Monroney","D","OK"
"84th","Wayne Morse","D","OR"
"84th","Richard L. Neuberger","D","OR"
"84th","Edward Martin","R","PA"
"84th","James H. Duff","R","PA"
"84th","Theodore F. Green","D","RI"
"84th","John O. Pastore","D","RI"
"84th","Olin D. Johnston","D","SC"
"84th","Strom Thurmond","I","SC"
"84th","Thomas A. Wofford","D","SC"
"84th","Strom Thurmond","D","SC"
"84th","Karl Mundt","R","SD"
"84th","Francis H. Case","R","SD"
"84th","Estes Kefauver","D","TN"
"84th","Albert Gore, Sr.","D","TN"
"84th","Lyndon Johnson","D","TX"
"84th","Price Daniel","D","TX"
"84th","Arthur Vivian Watkins","R","UT"
"84th","Wallace F. Bennett","R","UT"
"84th","Harry F. Byrd, Sr.","D","VA"
"84th","A. Willis Robertson","D","VA"
"84th","George Aiken","R","VT"
"84th","Ralph Flanders","R","VT"
"84th","Warren G. Magnuson","D","WA"
"84th","Henry M. Jackson","D","WA"
"84th","Alexander Wiley","R","WI"
"84th","Joseph McCarthy","R","WI"
"84th","Harley M. Kilgore","D","WV"
"84th","Matthew M. Neely","D","WV"
"84th","William R. Laird, III","D","WV"
"84th","W. Chapman Revercomb","R","WV"
"84th","Frank A. Barrett","R","WY"
"84th","Joseph C. O'Mahoney","D","WY"
"83rd","Joseph L. Hill","D","AL"
"83rd","John Sparkman","D","AL"
"83rd","John Little McClellan","D","AR"
"83rd","J. William Fulbright","D","AR"
"83rd","Carl Hayden","D","AZ"
"83rd","Barry Goldwater","R","AZ"
"83rd","William F. Knowland","R","CA"
"83rd","Thomas Kuchel","R","CA"
"83rd","Edwin C. Johnson","D","CO"
"83rd","Eugene D. Millikin","R","CO"
"83rd","Prescott Bush","R","CT"
"83rd","William A. Purtell","R","CT"
"83rd","John J. Williams","R","DE"
"83rd","Joseph Frear, Jr.","D","DE"
"83rd","Spessard Holland","D","FL"
"83rd","George Smathers","D","FL"
"83rd","Walter F. George","D","GA"
"83rd","Richard Russell, Jr.","D","GA"
"83rd","Bourke B. Hickenlooper","R","IA"
"83rd","Guy Mark Gillette","D","IA"
"83rd","Henry Dworshak","R","ID"
"83rd","Herman Welker","R","ID"
"83rd","Paul Douglas","D","IL"
"83rd","Everett Dirksen","R","IL"
"83rd","Homer E. Capehart","R","IN"
"83rd","William E. Jenner","R","IN"
"83rd","Andrew F. Schoeppel","R","KS"
"83rd","Frank Carlson","R","KS"
"83rd","Earle C. Clements","D","KY"
"83rd","John Sherman Cooper","R","KY"
"83rd","Allen J. Ellender","D","LA"
"83rd","Russell B. Long","D","LA"
"83rd","Leverett Saltonstall","R","MA"
"83rd","John F. Kennedy","D","MA"
"83rd","John M. Butler","R","MD"
"83rd","James Glenn Beall","R","MD"
"83rd","Margaret Chase Smith","R","ME"
"83rd","Frederick G. Payne","R","ME"
"83rd","Homer S. Ferguson","R","MI"
"83rd","Charles E. Potter","R","MI"
"83rd","Edward John Thye","R","MN"
"83rd","Hubert Humphrey","D","MN"
"83rd","Thomas C. Hennings, Jr.","D","MO"
"83rd","Stuart Symington","D","MO"
"83rd","James Eastland","D","MS"
"83rd","John C. Stennis","D","MS"
"83rd","James Murray","D","MT"
"83rd","Mike Mansfield","D","MT"
"83rd","Clyde R. Hoey","D","NC"
"83rd","Willis Smith","D","NC"
"83rd","Alton Asa Lennon","D","NC"
"83rd","Sam Ervin","D","NC"
"83rd","W. Kerr Scott","D","NC"
"83rd","William Langer","R","ND"
"83rd","Milton Young","R","ND"
"83rd","Hugh A. Butler","R","NE"
"83rd","Dwight Griswold","R","NE"
"83rd","Eva Bowring","D","NE"
"83rd","Samuel W. Reynolds","R","NE"
"83rd","Roman Hruska","R","NE"
"83rd","Hazel Abel","R","NE"
"83rd","Carl Curtis","R","NE"
"83rd","Styles Bridges","R","NH"
"83rd","Charles W. Tobey","R","NH"
"83rd","Robert W. Upton","R","NH"
"83rd","Norris Cotton","R","NH"
"83rd","Howard A. Smith","R","NJ"
"83rd","Robert C. Hendrickson","R","NJ"
"83rd","Dennis Chavez","D","NM"
"83rd","Clinton Anderson","D","NM"
"83rd","Pat McCarran","D","NV"
"83rd","George W. Malone","R","NV"
"83rd","Ernest S. Brown","R","NV"
"83rd","Alan Bible","D","NV"
"83rd","Irving Ives","R","NY"
"83rd","Herbert H. Lehman","D","NY"
"83rd","Robert A. Taft","R","OH"
"83rd","John W. Bricker","R","OH"
"83rd","Thomas A. Burke","D","OH"
"83rd","George H. Bender","R","OH"
"83rd","Robert S. Kerr","D","OK"
"83rd","Almer Monroney","D","OK"
"83rd","Guy Cordon","R","OR"
"83rd","Wayne Morse","D","OR"
"83rd","Edward Martin","R","PA"
"83rd","James H. Duff","R","PA"
"83rd","Theodore F. Green","D","RI"
"83rd","John O. Pastore","D","RI"
"83rd","Burnet R. Maybank","D","SC"
"83rd","Olin D. Johnston","D","SC"
"83rd","Charles E. Daniel","D","SC"
"83rd","Strom Thurmond","I","SC"
"83rd","Karl Mundt","R","SD"
"83rd","Francis H. Case","R","SD"
"83rd","Estes Kefauver","D","TN"
"83rd","Albert Gore, Sr.","D","TN"
"83rd","Lyndon Johnson","D","TX"
"83rd","Price Daniel","D","TX"
"83rd","Arthur Vivian Watkins","R","UT"
"83rd","Wallace F. Bennett","R","UT"
"83rd","Harry F. Byrd, Sr.","D","VA"
"83rd","A. Willis Robertson","D","VA"
"83rd","George Aiken","R","VT"
"83rd","Ralph Flanders","R","VT"
"83rd","Warren G. Magnuson","D","WA"
"83rd","Henry M. Jackson","D","WA"
"83rd","Alexander Wiley","R","WI"
"83rd","Joseph McCarthy","R","WI"
"83rd","Harley M. Kilgore","D","WV"
"83rd","Matthew M. Neely","D","WV"
"83rd","Lester C. Hunt","D","WY"
"83rd","Frank A. Barrett","R","WY"
"83rd","Edward D. Crippa","R","WY"
"83rd","Joseph C. O'Mahoney","D","WY"
